0 -7.94079 0.599188 -0.548408 0.190314 0.03 0.03 2.69861
1 -9.87369 -9.9588 0.00177577 -0.0509811 0.03 0.03 3.6145
2 2.61425 -3.11476 1.3574 2.12382 0.03 0.03 4.7238
3 -1.82151 2.79169 -0.235058 3.96331 0.03 0.03 4.10261
4 3.92023 9.12382 0.315586 -0.0823193 0.03 0.03 3.15164
5 -4.22626 -4.08633 -0.0856291 -0.3895 0.03 0.03 1.89055
6 -7.3194 -5.70812 -0.0740483 -0.165764 0.03 0.03 2.54101
7 1.66199 4.16543 1.60794 -0.359209 0.03 0.03 4.28426
8 -4.74786 -1.39964 -0.789436 -0.33807 0.03 0.03 2.16184
9 -9.17259 -8.30686 -0.0227934 -0.0711276 0.03 0.03 1.77155
10 1.15736 -4.78466 0.815345 0.243675 0.03 0.03 2.59535
11 3.67692 6.5607 0.466659 -0.247495 0.03 0.03 4.44404
12 6.72142 1.08001 -0.927838 -0.0361893 0.03 0.03 1.88484
13 -9.79155 1.8843 -0.313004 0.173087 0.03 0.03 1.82115
14 4.60052 -0.377517 -9.01173 4.78561 0.03 0.03 4.09062
15 -9.11138 -1.66664 -0.426682 -0.00667404 0.03 0.03 3.28187
16 7.32807 -8.83598 0.209086 0.439191 0.03 0.03 3.21462
17 3.60949 -3.32327 0.283849 1.04681 0.03 0.03 1.68826
18 7.11317 -0.00857736 -1.2283 0.356883 0.03 0.03 3.9632
19 -1.73014 -4.03623 0.496192 -0.711084 0.03 0.03 3.67025
20 -7.67751 8.02392 -0.0399265 0.463812 0.03 0.03 4.39102
21 2.19708 -9.31641 0.318347 0.210299 0.03 0.03 2.20642
22 -0.402296 -2.35406 4.3956 -4.55524 0.03 0.03 4.37098
23 -4.81004 5.337 -0.0279 0.777745 0.03 0.03 4.86353
24 -8.65531 -8.36701 -0.0498796 -0.104475 0.03 0.03 2.20212
25 -7.58293 9.72777 0.0860406 0.410836 0.03 0.03 2.41957
26 1.85529 7.38804 0.480435 0.0456058 0.03 0.03 2.96434
27 -7.47141 7.33964 -0.0151825 0.381547 0.03 0.03 1.97254
28 7.92716 -6.68829 -0.027967 0.56331 0.03 0.03 3.77504
29 -6.04729 9.6655 0.122424 0.424849 0.03 0.03 3.32428
30 4.84877 -6.36877 0.249096 0.643294 0.03 0.03 2.88969
31 4.2749 6.76121 0.363537 -0.342792 0.03 0.03 3.79474
32 6.75963 -5.60531 -0.00602593 0.692722 0.03 0.03 4.70392
33 -3.00929 7.81633 0.221406 0.455993 0.03 0.03 2.14319
34 8.55507 4.12304 -0.316193 -0.348762 0.03 0.03 4.75295
35 -2.17348 3.98999 0.129009 0.891884 0.03 0.03 1.51644
